Title,Artist
Luther,Kendrick Lamar & SZA
Die With A Smile,Lady Gaga & Bruno Mars
Not Like Us,Kendrick Lamar
TV Off,Kendrick Lamar Featuring Lefty Gunplay
A Bar Song (Tipsy),Shaboozey
APT.,ROSE & Bruno Mars
Birds Of A Feather,Billie Eilish
Pink Pony Club,Chappell Roan
Lose Control,Teddy Swims
Nokia,Drake
That's So True,Gracie Abrams
Beautiful Things,Benson Boone
Love Somebody,Morgan Wallen
Squabble Up,Kendrick Lamar
I Had Some Help,Post Malone Featuring Morgan Wallen
30 For 30,SZA With Kendrick Lamar
I'm The Problem,Morgan Wallen
Espresso,Sabrina Carpenter
Timeless,The Weeknd & Playboi Carti
Messy,Lola Young
Sports Car,Tate McRae
Denial Is A River,Doechii
Taste,Sabrina Carpenter
Too Sweet,Hozier
Revolving Door,Tate McRae
All The Stars,Kendrick Lamar & SZA
"Good Luck, Babe!",Chappell Roan
Stargazing,Myles Smith
Abracadabra,Lady Gaga
DTMF,Bad Bunny
Liar,Jelly Roll
Bed Chem,Sabrina Carpenter
High Road,Koe Wetzel & Jessie Murph
Die Trying,"PARTYNEXTDOOR, Drake & Yebba"
Sailor Song,Gigi Perez
I Never Lie,Zach Top
BMF,SZA
Gimme A Hug,Drake
I'm Gonna Love You,Cody Johnson & Carrie Underwood
No One Noticed,The Marias
Who,Jimin
Baile Inolvidable,Bad Bunny
Please Please Please,Sabrina Carpenter
Sorry I'm Here For Someone Else,Benson Boone
A N X I E T Y,Sleepy Hallow Featuring Doechii
Peekaboo,Kendrick Lamar Featuring AzChike
Whatchu Kno About Me,GloRilla & Sexyy Red
Wildflower,Billie Eilish
Indigo,Sam Barber Featuring Avery Anna
Smile,Morgan Wallen
Residuals,Chris Brown
Sticky,"Tyler, The Creator Featuring GloRilla, Sexyy Red & Lil Wayne"
Cry For Me,The Weeknd
Bad Dreams,Teddy Swims
Good News,Shaboozey
Ms. Whitman,Bhad Bhabie
Tweaker,GELO
I Ain't Sayin',Jordan Davis
Mutt,Leon Thomas
Worst Way,Riley Green
Busy Woman,Sabrina Carpenter
Somebody Loves Me,PARTYNEXTDOOR & Drake
Loco,Neton Vega
Ordinary,Alex Warren
Me Jalo,Fuerza Regida & Grupo Frontera
Nuevayol,Bad Bunny
Am I Okay?,Megan Moroney
Fat Juicy & Wet,Sexyy Red & Bruno Mars
Like Him,"Tyler, The Creator Featuring Lola Young"
Heart Of A Woman,Summer Walker
Dear God,Tate McRae
Call Me When You Break Up,"Selena Gomez, benny blanco & Gracie Abrams"
I Know Love,Tate McRae Featauring The Kid LAROI
4x4xU,Lainey Wilson
Purple Lace Bra,Tate McRae
Miss Possessive,Tate McRae
cLOUDs,J. Cole
Hard Fought Hallelujah,Brandon Lake
Por Esos Ojos,Fuerza Regida
CN Tower,PARTYNEXTDOOR & Drake
Little Things,Ella Mai
Backseat Driver,Kane Brown
Headlock,Imogen Heap
No Pole,Don Toliver
Tattoo,Tito Double P
Voy A Llevarte Pa PR,Bad Bunny
The Largest,BigXthaPlug
Weren't For The Wind,Ella Langley
Something About You,PARTYNEXTDOOR & Drake
Que Pasaria...,Rauw Alejandro & Bad Bunny
Burning Down,Alex Warren
EOO,Bad Bunny
Push 2 Start,Tyla
Tu Boda,Oscar Maydon & Fuerza Regida
Are You Even Real,Teddy Swims & GIVEON
Born Again,LISA Featuring Doja Cat & RAYE
Twenties,Giveon
Deeper,PARTYNEXTDOOR
Holy Smokes,Bailey Zimmerman
7 Dias,Gabito Ballesteros & Tito Double P
